name,S,I,M,P,U,type
AIBL,0,1,0,0,0,I
AIBR,0,1,0,0,0,I
ALA,0,1,0,0,0,I
AS01,0,0,1,0,0,M
ASKL,1,0,0,0,0,S
ASKR,1,0,0,0,0,S
AVAL,0,1,0,0,0,I
AVAR,0,1,0,0,0,I
AVBL,0,1,0,0,0,I
AVBR,0,1,0,0,0,I
AVEL,0,1,0,0,0,I
AVER,0,1,0,0,0,I
AVFL,0,1,0,0,0,I
AVFR,0,1,0,0,0,I
BAGR,1,0,0,0,0,S
BAGL,1,0,0,0,0,S
DA01,0,0,1,0,0,M
DB01,0,0,1,0,0,M
DB02,0,0,1,0,0,M
OLQDL,0,0,0,1,0,P
OLQDR,0,0,0,1,0,P
OLQVL,0,0,0,1,0,P
OLQVR,0,0,0,1,0,P
RIBL,0,1,0,0,0,I
RIBR,0,1,0,0,0,I
RID,0,0,1,0,0,M
RIFR,0,1,0,0,0,I
RIGL,0,1,0,0,0,I
RIGR,0,1,0,0,0,I
RIML,0,0,1,0,0,M
RIMR,0,0,1,0,0,M
RIS,0,1,0,0,0,I
RIVL,0,1,0,0,0,I
RIVR,0,1,0,0,0,I
RMED,0,0,1,0,0,M
RMEL,0,0,1,0,0,M
RMER,0,0,1,0,0,M
RMEV,0,0,1,0,0,M
SAAVL,0,0,0,1,0,P
SAAVR,0,0,0,1,0,P
SABD,0,1,0,0,0,I
SABVL,0,1,0,0,0,I
SABVR,0,1,0,0,0,I
SIADL,0,0,1,0,0,M
SIBDR,0,0,1,0,0,M
SIBVL,0,0,1,0,0,M
SIBVR,0,0,1,0,0,M
SMBDL,0,0,1,0,0,M
SMBDR,0,0,1,0,0,M
SMBVL,0,0,1,0,0,M
SMBVR,0,0,1,0,0,M
SMDDL,0,0,1,0,0,M
SMDDR,0,0,1,0,0,M
SMDVL,0,0,1,0,0,M
SMDVR,0,0,1,0,0,M
URADL,0,0,1,0,0,M
URADR,0,0,1,0,0,M
URYDL,0,0,0,0,1,U
URYDR,0,0,0,0,1,U
URYVL,0,0,0,0,1,U
URYVR,0,0,0,0,1,U
VA01,0,0,1,0,0,M
VB01,0,0,1,0,0,M
VB02,0,0,1,0,0,M
AFDL,1,0,0,0,0,S
AFDR,1,0,0,0,0,S
AQR,1,0,0,0,0,S
ASGL,1,0,0,0,0,S
ASGR,1,0,0,0,0,S
AUAL,0,1,0,0,0,I
AUAR,0,1,0,0,0,I
AWAL,1,0,0,0,0,S
AWAR,1,0,0,0,0,S
AWBL,1,0,0,0,0,S
AWBR,1,0,0,0,0,S
AWCL,1,0,0,0,0,S
AWCR,1,0,0,0,0,S
IL2DL,1,0,0,0,0,S
IL2DR,1,0,0,0,0,S
IL2VL,1,0,0,0,0,S
IL2VR,1,0,0,0,0,S
IL2L,1,0,0,0,0,S
IL2R,1,0,0,0,0,S
RIFL,0,1,0,0,0,I
RMGL,0,1,0,0,0,I
RMGR,0,1,0,0,0,I
SIBDL,0,0,1,0,0,M
URXL,1,0,0,0,0,S
URXR,1,0,0,0,0,S
VA02,0,0,1,0,0,M
VB03,0,0,1,0,0,M